,id,title,original_title
628,496243,Parasite,기생충
629,497,The Green Mile,The Green Mile
630,372058,Your Name.,君の名は。
631,680,Pulp Fiction,Pulp Fiction
632,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
633,13,Forrest Gump,Forrest Gump
634,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
635,769,GoodFellas,GoodFellas
636,346,Seven Samurai,七人の侍
637,12477,Grave of the Fireflies,火垂るの墓
638,637,Life Is Beautiful,La vita è bella
639,11216,Cinema Paradiso,Nuovo Cinema Paradiso
640,278,The Shawshank Redemption,The Shawshank Redemption
641,238,The Godfather,The Godfather
642,240,The Godfather Part II,The Godfather Part II
643,424,Schindler's List,Schindler's List
644,389,12 Angry Men,12 Angry Men
645,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
646,129,Spirited Away,千と千尋の神隠し
647,155,The Dark Knight,The Dark Knight
648,496243,Parasite,기생충
649,497,The Green Mile,The Green Mile
650,372058,Your Name.,君の名は。
651,680,Pulp Fiction,Pulp Fiction
652,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
653,13,Forrest Gump,Forrest Gump
654,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
655,769,GoodFellas,GoodFellas
656,346,Seven Samurai,七人の侍
657,12477,Grave of the Fireflies,火垂るの墓
658,637,Life Is Beautiful,La vita è bella
659,11216,Cinema Paradiso,Nuovo Cinema Paradiso
660,278,The Shawshank Redemption,The Shawshank Redemption
661,238,The Godfather,The Godfather
662,240,The Godfather Part II,The Godfather Part II
663,424,Schindler's List,Schindler's List
664,389,12 Angry Men,12 Angry Men
665,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
666,129,Spirited Away,千と千尋の神隠し
667,155,The Dark Knight,The Dark Knight
668,496243,Parasite,기생충
669,497,The Green Mile,The Green Mile
670,372058,Your Name.,君の名は。
671,680,Pulp Fiction,Pulp Fiction
672,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
673,13,Forrest Gump,Forrest Gump
674,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
675,769,GoodFellas,GoodFellas
676,346,Seven Samurai,七人の侍
677,12477,Grave of the Fireflies,火垂るの墓
678,637,Life Is Beautiful,La vita è bella
679,11216,Cinema Paradiso,Nuovo Cinema Paradiso
680,278,The Shawshank Redemption,The Shawshank Redemption
681,238,The Godfather,The Godfather
682,240,The Godfather Part II,The Godfather Part II
683,424,Schindler's List,Schindler's List
684,389,12 Angry Men,12 Angry Men
