,id,title,original_title
945,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
946,129,Spirited Away,千と千尋の神隠し
947,155,The Dark Knight,The Dark Knight
948,496243,Parasite,기생충
949,497,The Green Mile,The Green Mile
950,372058,Your Name.,君の名は。
951,680,Pulp Fiction,Pulp Fiction
952,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
953,13,Forrest Gump,Forrest Gump
954,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
955,769,GoodFellas,GoodFellas
956,346,Seven Samurai,七人の侍
957,12477,Grave of the Fireflies,火垂るの墓
958,637,Life Is Beautiful,La vita è bella
959,11216,Cinema Paradiso,Nuovo Cinema Paradiso
960,278,The Shawshank Redemption,The Shawshank Redemption
961,238,The Godfather,The Godfather
962,240,The Godfather Part II,The Godfather Part II
963,424,Schindler's List,Schindler's List
964,389,12 Angry Men,12 Angry Men
965,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
966,129,Spirited Away,千と千尋の神隠し
967,155,The Dark Knight,The Dark Knight
968,496243,Parasite,기생충
969,497,The Green Mile,The Green Mile
970,372058,Your Name.,君の名は。
971,680,Pulp Fiction,Pulp Fiction
972,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
973,13,Forrest Gump,Forrest Gump
974,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
975,769,GoodFellas,GoodFellas
976,346,Seven Samurai,七人の侍
977,12477,Grave of the Fireflies,火垂るの墓
978,637,Life Is Beautiful,La vita è bella
979,11216,Cinema Paradiso,Nuovo Cinema Paradiso
980,278,The Shawshank Redemption,The Shawshank Redemption
981,238,The Godfather,The Godfather
982,240,The Godfather Part II,The Godfather Part II
983,424,Schindler's List,Schindler's List
984,389,12 Angry Men,12 Angry Men
985,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
986,129,Spirited Away,千と千尋の神隠し
987,155,The Dark Knight,The Dark Knight
988,496243,Parasite,기생충
989,497,The Green Mile,The Green Mile
990,372058,Your Name.,君の名は。
991,680,Pulp Fiction,Pulp Fiction
992,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
993,13,Forrest Gump,Forrest Gump
994,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
995,769,GoodFellas,GoodFellas
996,346,Seven Samurai,七人の侍
997,12477,Grave of the Fireflies,火垂るの墓
998,637,Life Is Beautiful,La vita è bella
999,11216,Cinema Paradiso,Nuovo Cinema Paradiso
