,timestamp,Open,High,Low,Close,Volume,year,month,day,hour,minute,weekday,is_weekend,close_change,close_pct_change,close_ma_5,close_ma_10,volume_change,volume_pct_change,price_spread,rolling_std,SMA10,SMA50
47,2024-02-02 16:00:00,411.135,411.48,410.85,411.155,8214776.0,2024,2,2,16,0,4,0,-0.3050000000000068,-0.0007412628202012606,411.317,411.17249999999996,8115908.0,82.08831977990856,0.6299999999999955,0.21123322107162473,411.17249999999996,
48,2024-02-02 15:55:00,412.54,412.63,411.07,411.11,1099519.0,2024,2,2,15,55,4,0,-0.04499999999995907,-0.00010944777516985749,411.27299999999997,411.19449999999995,-7115257.0,-0.866153501933589,1.5600000000000023,0.198919945548285,411.19449999999995,
49,2024-02-02 15:50:00,411.695,412.65,411.54,412.51,613253.0,2024,2,2,15,50,4,0,1.3999999999999773,0.0034054146092286075,411.517,411.35749999999996,-486266.0,-0.442253385343955,1.1099999999999568,0.3685564835666532,411.35749999999996,411.25370000000004
50,2024-02-02 15:45:00,411.3,411.78,410.87,411.705,339107.0,2024,2,2,15,45,4,0,-0.8050000000000068,-0.001951467843203769,411.588,411.424,-274146.0,-0.4470357258749651,0.9099999999999682,0.3870771037023327,411.424,411.265
51,2024-02-02 15:40:00,411.28,411.41,411.21,411.32,246957.0,2024,2,2,15,40,4,0,-0.3849999999999909,-0.000935135594661185,411.56000000000006,411.438,-92150.0,-0.27174313712191134,0.20000000000004547,0.38750008488971055,411.438,411.26959999999997
52,2024-02-02 15:35:00,411.0,411.3,410.78,411.23,224536.0,2024,2,2,15,35,4,0,-0.08999999999997499,-0.00021880774093152588,411.575,411.446,-22421.0,-0.09078908473944858,0.5200000000000387,0.3848766036017971,411.446,411.27259999999995
53,2024-02-02 15:30:00,411.1,411.1,410.82,411.0,194980.0,2024,2,2,15,30,4,0,-0.2300000000000182,-0.000559297716606344,411.553,411.413,-29556.0,-0.1316314533081555,0.28000000000002956,0.38762060941359006,411.413,411.2684
54,2024-02-02 15:25:00,410.8,411.198,410.675,411.1,209268.0,2024,2,2,15,25,4,0,0.10000000000002274,0.00024330900243318965,411.271,411.39399999999995,14288.0,0.07327931069853322,0.5229999999999677,0.3848653216250186,411.39399999999995,411.26630000000006
55,2024-02-02 15:20:00,411.37,411.44,410.73,410.77,228583.0,2024,2,2,15,20,4,0,-0.3300000000000409,-0.000802724397956811,411.084,411.33599999999996,19315.0,0.09229791463577808,0.7099999999999795,0.3871586781996777,411.33599999999996,411.2572
56,2024-02-02 15:15:00,411.325,411.46,411.06,411.4,227389.0,2024,2,2,15,15,4,0,0.6299999999999955,0.001533704993061713,411.1,411.33000000000004,-1194.0,-0.005223485561043462,0.39999999999997726,0.37069848721176163,411.33000000000004,411.2618
57,2024-02-02 15:10:00,411.67,411.88,411.25,411.325,209569.0,2024,2,2,15,10,4,0,-0.07499999999998863,-0.00018230432668930874,411.119,411.3469999999999,-17820.0,-0.0783679069787897,0.6299999999999955,0.3669055342355266,411.3469999999999,411.2662
58,2024-02-02 15:05:00,411.1,411.73,411.09,411.67,183537.0,2024,2,2,15,5,4,0,0.3450000000000273,0.0008387528110376241,411.253,411.40299999999996,-26032.0,-0.1242168450486475,0.6400000000000432,0.3669894412650078,411.40299999999996,411.27939999999995
59,2024-02-02 15:00:00,411.51,411.52,411.01,411.134,177476.0,2024,2,2,15,0,4,0,-0.5360000000000014,-0.0013020137488765071,411.2598,411.26539999999994,-6061.0,-0.033023314100154244,0.5099999999999909,0.35596488221229894,411.26539999999994,411.27908
60,2024-02-02 14:55:00,411.54,411.66,411.35,411.51,159364.0,2024,2,2,14,55,4,0,0.37599999999997635,0.0009145436767574733,411.40779999999995,411.2459,-18112.0,-0.10205323536703559,0.3100000000000023,0.3525994409942479,411.2459,411.28617999999994
61,2024-02-02 14:50:00,411.44,411.75,411.42,411.52,143788.0,2024,2,2,14,50,4,0,0.009999999999990905,2.430074603299026e-05,411.4318,411.2659,-15576.0,-0.09773851057955374,0.3299999999999841,0.3529317028010911,411.2659,411.29428
62,2024-02-02 14:45:00,411.92,412.145,411.43,411.47,155831.0,2024,2,2,14,45,4,0,-0.049999999999954525,-0.000121500777604866,411.4608,411.28989999999993,12043.0,0.0837552507858792,0.714999999999975,0.35053995567735013,411.28989999999993,411.30188000000004
63,2024-02-02 14:40:00,412.23,412.42,411.92,411.97,150803.0,2024,2,2,14,40,4,0,0.5,0.0012151554183779112,411.52079999999995,411.38689999999997,-5028.0,-0.03226572376484782,0.5,0.37523543135918197,411.38689999999997,411.31688
64,2024-02-02 14:35:00,412.08,412.34,412.005,412.25,141080.0,2024,2,2,14,35,4,0,0.2799999999999727,0.0006796611403743213,411.74399999999997,411.50190000000003,-9723.0,-0.06447484466489395,0.33499999999997954,0.41925039308887013,411.50190000000003,411.33968
65,2024-02-02 14:30:00,411.72,412.11,411.59,412.055,145730.0,2024,2,2,14,30,4,0,-0.19499999999999318,-0.0004730139478471562,411.85299999999995,411.6304,4650.0,0.032960022682166246,0.5200000000000387,0.4397194799557051,411.6304,411.35478
66,2024-02-02 14:25:00,411.81,411.91,411.605,411.7,111519.0,2024,2,2,14,25,4,0,-0.3550000000000182,-0.0008615354746333015,411.889,411.66040000000004,-34211.0,-0.23475605571948122,0.3050000000000068,0.442320150783738,411.66040000000004,411.35977999999994
67,2024-02-02 14:20:00,411.576,411.84,411.39,411.79,312422.0,2024,2,2,14,20,4,0,0.09000000000003183,0.0002186057809085984,411.953,411.7069,200903.0,1.8015136434150234,0.44999999999998863,0.4393958142481549,411.7069,411.36697999999996
68,2024-02-02 14:15:00,411.435,411.92,411.38,411.555,162362.0,2024,2,2,14,15,4,0,-0.23500000000001364,-0.0005706792297044405,411.87,411.69539999999995,-150060.0,-0.48031188584670736,0.5400000000000205,0.4282979287707454,411.69539999999995,411.36748
69,2024-02-02 14:10:00,411.695,411.75,411.36,411.405,147100.0,2024,2,2,14,10,4,0,-0.1500000000000341,-0.0003644713343295969,411.701,411.7225,-15262.0,-0.09399982754585434,0.38999999999998636,0.3643269894792776,411.7225,411.36498
70,2024-02-02 14:05:00,411.67,411.78,411.57,411.685,118496.0,2024,2,2,14,5,4,0,0.28000000000002956,0.0006805945479515518,411.62700000000007,411.74000000000007,-28604.0,-0.19445275322909583,0.20999999999997954,0.3637441951063423,411.74000000000007,411.37108
71,2024-02-02 14:00:00,411.97,412.22,411.63,411.665,153111.0,2024,2,2,14,0,4,0,-0.01999999999998181,-4.8580832432532084e-05,411.62,411.7545,34615.0,0.29211956521739135,0.5900000000000318,0.36329089402856596,411.7545,411.37198000000006
72,2024-02-02 13:55:00,412.01,412.15,411.88,411.935,105652.0,2024,2,2,13,55,4,0,0.2699999999999818,0.000655873100700699,411.649,411.80100000000004,-47459.0,-0.3099646661572323,0.2699999999999818,0.36883293536554684,411.80100000000004,411.37947999999994
73,2024-02-02 13:50:00,411.76,412.11,411.72,412.02,127623.0,2024,2,2,13,50,4,0,0.08499999999997954,0.00020634323376245156,411.742,411.80600000000004,21971.0,0.20795630939310183,0.38999999999998636,0.35985223209974654,411.80600000000004,411.38867999999997
74,2024-02-02 13:45:00,411.465,411.79,411.28,411.75,187821.0,2024,2,2,13,45,4,0,-0.2699999999999818,-0.000655307994757437,411.81100000000004,411.75600000000003,60198.0,0.4716861380785595,0.5100000000000477,0.3415420872574871,411.75600000000003,411.39128
75,2024-02-02 13:40:00,411.36,411.49,411.151,411.46,141414.0,2024,2,2,13,40,4,0,-0.29000000000002046,-0.0007043108682452948,411.76599999999996,411.6965,-46407.0,-0.2470809973325666,0.33899999999999864,0.27940848704242105,411.6965,411.39168000000006
76,2024-02-02 13:35:00,411.11,411.44,410.7,411.34,161576.0,2024,2,2,13,35,4,0,-0.12000000000000455,-0.00029164438827589123,411.701,411.66049999999996,20162.0,0.14257428543142825,0.7400000000000091,0.28268887025876915,411.66049999999996,411.38868
77,2024-02-02 13:30:00,411.561,411.61,411.01,411.152,123514.0,2024,2,2,13,30,4,0,-0.18799999999998818,-0.0004570428356104328,411.54439999999994,411.59669999999994,-38062.0,-0.23556716344011486,0.6000000000000227,0.29583469779729527,411.59669999999994,411.38332
78,2024-02-02 13:25:00,412.01,412.07,411.065,411.6,219648.0,2024,2,2,13,25,4,0,0.4480000000000359,0.0010896213565787516,411.46040000000005,411.60119999999995,96134.0,0.7783247243227489,1.0049999999999955,0.29602206532226855,411.60119999999995,411.38662
